sample	PRS
HG00096	0.343325986362102
HG00097	7.41447667917566
HG00099	1.96583437239204
HG00100	7.03515403220611
HG00101	2.0312330506225
HG00102	8.79434879332959
HG00103	3.94600038984591
HG00105	9.93372835900404
HG00106	0.273769279389782
HG00107	15.5848962971722
HG00108	0.702546962677193
HG00109	3.29388288392949
HG00110	1.7670479297201
HG00111	3.39894026447139
HG00112	1.90277501060595
HG00113	8.27583512279764
HG00114	10.9876559266553
HG00115	5.74656252828219
HG00116	4.13711881819454
HG00117	4.08239827153796
HG00118	1.08495082767102
HG00119	2.52194280691502
HG00120	7.45854927199399
HG00121	3.86393324751649
HG00122	11.4932307711531
HG00123	1.7620703394833
HG00125	7.23632373086806
HG00126	2.04501178311064
HG00127	8.62691009917488
HG00128	9.44366342497958
HG00129	7.51896230414564
HG00130	0.413311324949214
HG00131	4.55202804622603
HG00132	6.52892912932127
HG00133	0.871865591909801
HG00136	4.29332853457626
HG00137	10.7250335175821
HG00138	3.83541067880916
HG00139	2.90260227237585
HG00140	4.01184041354247
HG00141	7.93336710515785
HG00142	-0.624783739845364
HG00143	11.0961973302668
HG00145	13.4210982176112
HG00146	3.34380180151136
HG00148	2.57269479808157
HG00149	0.538364172871477
HG00150	7.57739147840379
HG00151	7.3165971129933
HG00154	11.5388318941378
HG00155	5.87662814549956
HG00157	5.17584371378809
HG00158	4.36172510500181
HG00159	6.62505400234748
HG00160	13.3497265474215
HG00171	1.57033469354309
HG00173	4.01398016149884
HG00174	5.8925005470339
HG00176	-1.6755071276578
HG00177	4.17140932578159
HG00178	4.7330690177758
HG00179	7.27095520970763
HG00180	7.69256736143092
HG00181	7.18793382210611
HG00182	9.19378204769885
HG00183	3.46937219128825
HG00185	9.14716341025487
HG00186	0.291544068935942
HG00187	-1.34157864374654
HG00188	-3.97373177944514
HG00189	12.5977102338741
HG00190	-0.289926913633889
HG00231	-4.1843810044683
HG00232	9.84921793018944
HG00233	1.91009898444994
HG00234	1.68367340582898
HG00235	14.0762878455059
HG00236	-0.421826967877745
HG00237	2.95741464728449
HG00238	-0.906948773949706
HG00239	5.7597455766551
HG00240	-5.54052990912369
HG00242	6.28360179298566
HG00243	1.46142634200125
HG00244	-3.92610680462646
HG00245	-1.96393999556731
HG00246	2.94682663191356
HG00250	0.0949013728373863
HG00251	5.8590759218213
HG00252	-7.54515431795684
HG00253	-2.59684447432665
HG00254	2.59820907044048
HG00255	3.21553106210024
HG00256	2.62403342574107
HG00257	5.86403266723358
HG00258	3.90992648818161
HG00259	1.86107033858484
HG00260	7.1214403333144
HG00261	3.88042102624439
HG00262	4.48748787077422
HG00263	6.82831483676157
HG00264	7.05505682830996
HG00265	-2.39508231659145
HG00266	8.44803403126321
HG00267	3.39788195636313
HG00268	14.2803783634979
HG00269	-3.18942558173613
HG00271	9.6550704295835
HG00272	2.93002479747991
HG00273	6.43030483283916
HG00274	8.66379635473929
HG00275	15.6350173304365
HG00276	-2.17132753945883
HG00277	13.6088310806018
HG00278	-0.442896232660379
HG00280	5.76124292142479
HG00281	8.28783948646059
HG00282	8.22826191151196
HG00284	-4.54813125754056
HG00285	8.6596425376239
HG00288	5.52501500529462
HG00290	6.97168271453401
